sid	UMAP-1	UMAP-2
P071-Ctrl-C0-V5	-1.7532065	6.5367455
P071-Ctrl-C2-V1	-3.8944101	4.7114825
P071-Ctrl-C2-V3	-3.7336833	4.7473674
P071-Ctrl-C2-V4	-3.931123	4.9107
P072-Case-C0-V1	-0.6900267	7.4615726
P072-Case-C0-V2	-0.58754796	6.2034764
P072-Case-C0-V3	-1.3042475	6.6041365
P072-Case-C0-V4	-0.8608901	6.1368904
P073-Ctrl-C2-V1	-4.4649982	4.8137574
P073-Ctrl-C2-V3	-4.4712934	4.7228427
P074-Ctrl-C2-V1	-4.127551	6.7091136
P074-Ctrl-C2-V3	-4.0968094	6.7733684
P074-Ctrl-C2-V4	-3.836898	6.6662364
P074-Ctrl-C2-V5	-4.215685	6.7392235
P075-Case-C0-V1	0.40236923	5.4805174
P075-Case-C0-V4	0.049112372	4.459977
P075-Case-C1-V2	1.403975	3.7591596
P075-Case-C1-V3	1.4758824	2.3560638
P076-Case-C0-V1	0.39544567	4.7570705
P076-Case-C0-V2	0.7292021	4.7638693
P076-Case-C0-V4	0.7033352	4.7863603
P076-Case-C2-V3	-2.8401477	4.704384
P077-Case-C0-V1	0.4513918	5.6444182
P077-Case-C0-V2	1.3068054	5.757123
P077-Case-C0-V3	1.3425167	5.6766934
P077-Case-C0-V4	1.4823343	5.9497952
P078-Case-C0-V2	-0.061085008	7.6572514
P078-Case-C0-V3	0.16503975	7.815199
P078-Case-C0-V4	0.36289594	6.547119
P078-Case-C2-V1	-3.29675	6.547997
P079-Case-C0-V1	0.48439804	5.62174
P079-Case-C0-V2	0.31542096	5.1716046
P080-Case-C0-V1	0.24065796	5.8970594
P080-Case-C0-V2	0.084948264	5.845505
P080-Case-C0-V3	-0.35578382	5.4152613
P080-Case-C0-V4	0.14038478	5.8882422
P081-Case-C0-V2	-1.22912	5.191185
P081-Case-C0-V4	-0.8073172	5.3421035
P081-Case-C2-V1	-1.6969587	4.7400045
P081-Case-C2-V3	-2.0656714	4.5189962
P082-Case-C0-V1	1.3510196	7.132332
P082-Case-C0-V2	0.073248215	5.327909
P082-Case-C0-V4	0.9435652	5.8759522
P082-Case-C2-V3	-2.7140834	4.913942
P083-Case-C1-V1	0.53330106	2.2988853
P083-Case-C1-V2	1.3376366	3.7708724
P084-Ctrl-C2-V1	-3.6506956	5.0737195
P084-Ctrl-C2-V3	-3.5970745	5.0452533
P084-Ctrl-C2-V4	-3.5909226	4.883536
P084-Ctrl-C2-V5	-4.1847315	6.1767554
P085-Ctrl-C2-V1	-2.3877206	3.7737994
P085-Ctrl-C2-V3	-2.0393195	3.9222565
P085-Ctrl-C2-V4	-1.9916744	3.660059
